miRNA	miRBase	small melocule	FDA	DB	CID	Detection method 	Species	Condition	PMID	Year	Reference	Support	Expression pattern of miRNA	
miR-652	MIMAT0003322	Doxorubicin	approved	DB00997	31703	Microarray	Homo sapiens 	K562 cells	22606351	2012	Induction of cellular senescence by doxorubicin is associated with upregulated miR-375 and induction of autophagy in K562 cells	MicroRNA profiling revealed upregulated miR-375 in DOX-induced senescent K562 cells.	up-regulated	
miR-653	MIMAT0003328	Diethylstilbestrol	approved	DB00255	448537	Microarray	Homo sapiens 	mammosphere-derived epithelial cells (MDEC)	19549897	2009	Xenoestrogen-induced epigenetic repression of microRNA-9-3 in breast epithelial cells.	"To determine whether this heritable effect altered the transcriptome of microRNA genes, we conducted expression microarray analysis of three sets of primary MDECs with a prior history of diethylstilbestrol exposure. Relative to control cells, 9.1% (82 of 898 loci) of microRNAs were differentially expressed, including 37 up-regulated and 45 down-regulated loci, in diethylstilbestrol-preexposed MDECs (Fig. 2A; Supplementary Table S1)."	up-regulated	
miR-653	MIMAT0004943	(S)-3,5-dihydroxyphenylglycine (DHPG) 	NULL	NULL	443586	Quantitative real-time PCR	Mus musculus	mouse brain	22309833	2012	Effect of (S)-3,5-DHPG on microRNA expression in mouse brain.	We then examined the expression of microRNAs in the cerebral Table 3 lists the signi?cantly regulated microRNAs detected at 4, 8 and 24 h after DHPG treatment in the qPCR arrays and their corresponding ??Ct values and fold changes.(8h after)	down-regulated	
miR-654-3p	MIMAT0004814	Glucose	NULL	NULL	5793	Quantitative real-time PCR	Homo sapiens	endothelial cells	24394957	2014	miRNA-1 regulates endothelin-1 in diabetes.	25mM glucose decreased miR-1 expression and increased ET-1 mRNA and protein levels	down-regulated	
miR-654-3p	MIMAT0004814	Vorinostat (SAHA)	approved	DB02546	5311	Microarray	Homo sapiens 	A549 human non-small cell lung cancer cells	19513533	2009	Suberoylanilide hydroxamic acid (SAHA) changes microRNA expression profiles in A549 human non-small cell lung cancer cells.	To  further  confirm  that  miRNA  expression  patterns  are affected by the SAHA dose, we analyzed 227 flagged miRNAs and removed those that did not demonstrate a 2-fold change in  expression  levels  by  comparing  the  control,  2.5  um  and 5.0  um  treated  cells.  A total  of  64  miRNAs  were  selected for  further  study  (Table  I)  and  their  expression  profiles  are shown  in  Fig.  2A. 	up-regulated	
miR-654-5p	MIMAT0003330	Atorvastatin	approved	DB01076	60823	Microarray 	Homo sapiens	PC3 prostate cancer cells 	23936432	2013	Inhibition of proliferation and induction of autophagy by atorvastatin in PC3 prostate cancer cells correlate with downregulation of Bcl2 and upregulation of miR-182 and p21.	miRNAs differentially regulated by ATO in PC3 cells following atorvastatin treatment (fold change cutoff value: 2.0)	up-regualted	
miR-654-5p	MIMAT0003330	Glucose	NULL	NULL	5793	Quantitative real-time PCR	Homo sapiens	endothelial cells	24394957	2014	miRNA-1 regulates endothelin-1 in diabetes.	25mM glucose decreased miR-1 expression and increased ET-2 mRNA and protein levels	down-regulated	
miR-654-5p	MIMAT0003330	Marine fungal metabolite 1386A	NULL	NULL	NULL	Microarray	Homo sapiens 	MCF-7 breast cancer cells.	22159329	2012	Marine fungal metabolite 1386A alters the microRNA profile in MCF-7 breast cancer cells.	1386A treatment significantly altered the miRNA expression profile in MCF-7 cells. miRNA microarray analysis identified 45 miRNAs which showed significant dysregulation between the 1386A-treated and control samples (Table I). 	up-regulated	
miR-654-5p	MIMAT0004897	(S)-3,5-dihydroxyphenylglycine (DHPG) 	NULL	NULL	443586	Quantitative real-time PCR	Mus musculus	mouse brain	22309833	2012	Effect of (S)-3,5-DHPG on microRNA expression in mouse brain.	We then examined the expression of microRNAs in the cerebral Table 3 lists the signi?cantly regulated microRNAs detected at 4, 8 and 24 h after DHPG treatment in the qPCR arrays and their corresponding ??Ct values and fold changes.(8h after)	up-regulated	
miR-655	MIMAT0003331	Gefitinib	approved	DB00317	123631	Quantitative real-time PCR	Homo sapiens	lung adenocarcinoma cells	24258346	2014	MiR-134/487b/655 cluster regulates TGF-?-induced epithelial-mesenchymal transition and drug resistance to gefitinib by targeting MAGI4 in lung adenocarcinoma cells.	miRNA array and real-time quantitative reverse transcription PCR (qRT-PCR) revealed that TGF-?1 significantly induced overexpression of miR-134, miR-487b, and miR-657,	up-regulated	
miR-657	MIMAT0003335	Diethylstilbestrol	approved	DB00255	448537	Microarray	Homo sapiens 	mammosphere-derived epithelial cells (MDEC)	19549897	2009	Xenoestrogen-induced epigenetic repression of microRNA-9-3 in breast epithelial cells.	"To determine whether this heritable effect altered the transcriptome of microRNA genes, we conducted expression microarray analysis of three sets of primary MDECs with a prior history of diethylstilbestrol exposure. Relative to control cells, 9.1% (82 of 898 loci) of microRNAs were differentially expressed, including 37 up-regulated and 45 down-regulated loci, in diethylstilbestrol-preexposed MDECs (Fig. 2A; Supplementary Table S1)."	down-regulated	
miR-657	MIMAT0003335	Trichostatin A (TSA)	NULL	NULL	444732	Microarray	Homo sapiens 	apoptosis-resistant breast cancer cells	21971930	2011	The histone deacetylase inhibitor trichostatin A alters microRNA expression profiles in apoptosis-resistant breast cancer cells.	As shown in Fig. 2, a number of microRNA expression changes were observed.	down-regulated	
miR-658	MIMAT0003336	Atorvastatin	approved	DB01076	60823	Microarray 	Homo sapiens	PC3 prostate cancer cells 	23936432	2013	Inhibition of proliferation and induction of autophagy by atorvastatin in PC3 prostate cancer cells correlate with downregulation of Bcl2 and upregulation of miR-182 and p21.	miRNAs differentially regulated by ATO in PC3 cells following atorvastatin treatment (fold change cutoff value: 2.0)	up-regualted	
miR-658	MIMAT0003336	Docosahexaenoic acid	NULL	NULL	445580	Quantitative real-time PCR	Homo sapiens	Caco-2 cells	24623846	2014	Docosahexaenoic acid modulates the enterocyte Caco-2 cell expression of microRNAs involved in lipid metabolism.	Overexpression of either miR-192 or miR-30c in enterocyte and hepatocyte cells suggested an effect on the expression of genes related to lipid metabolism	up-regulated	
miR-658	MIMAT0003336	Hydroxycamptothecin (HCPT)	NULL	NULL	97226	Microarray	Homo sapiens	human Tenon's fibroblasts (HTFs) 	24681041	2014	MicroRNA-216b/Beclin 1 axis regulates autophagy and apoptosis in human Tenon's capsule fibroblasts upon hydroxycamptothecin exposure	We showed that HCPT induced significant autophagy as well as apoptosis, two self-destructive processes, and down-regulated the expression of miR-216b in HTFs	up-regulated	
miR-659	MIMAT0003337	Calcitriol	approved	DB00136	5280453	Quantitative real-time PCR	Homo sapiens	human umbilical vein endothelial cells 	24397367	2014	Vitamin D manipulates miR-181c, miR-20b and miR-19a in human umbilical vein endothelial cells exposed to a diabetic-like environment	MiR-181c, miR-15a, miR-20b, miR-411, miR-659, miR-126 and miR-510 were selected for further analysis because they are known to be modified in DM and in other biological disorders.	up-regulated	
miR-660	MIMAT0003338	4-hydroxynonenal	NULL	NULL	5283344	Microarray	Homo sapiens 	human leukemic HL-60 cell	19022373	2009	MicroRNA expression changes during human leukemic HL-60 cell differentiation induced by 4-hydroxynonenal, a product of lipid peroxidation.	Among 470 human miRNAs, 10 were found to be differentially expressed between control and HNE-treated cells (at p<0.05). Six miRNAs were down-regulated (miR-181a*, miR-199b, miR-202, miR-378, miR-454-3p, miR-575) and 4 were up-regulated (miR-125a, miR-339, miR-663, miR-660).	up-regulated	
miR-660	MIMAT0003338	Vorinostat (SAHA)	approved	DB02546	5311	Microarray	Homo sapiens 	A549 human non-small cell lung cancer cells	19513533	2009	Suberoylanilide hydroxamic acid (SAHA) changes microRNA expression profiles in A549 human non-small cell lung cancer cells.	To  further  confirm  that  miRNA  expression  patterns  are affected by the SAHA dose, we analyzed 227 flagged miRNAs and removed those that did not demonstrate a 2-fold change in  expression  levels  by  comparing  the  control,  2.5  um  and 5.0  um  treated  cells.  A total  of  64  miRNAs  were  selected for  further  study  (Table  I)  and  their  expression  profiles  are shown  in  Fig.  2A. 	up-regulated	
miR-660	MIMAT0003338	Formaldehyde	NULL	DB03843	712	Microarray	Homo sapiens 	Human lung epithelial cells (A549)	21147603	2011	Epigenetic changes induced by air toxics formaldehyde exposure alters miRNA expression profiles in human lung cells.	"A total of 89 miRNAs showed a significant decrease in expression in the formaldehyde-exposed lung samples compared with control samples [Figure 1; see also Supplemental Material, Table 1 (doi:10.1289/ehp.1002614)]."	down-regulated	
miR-660	MIMAT0003338	Vitamin D3	approved	DB00169	5280795	Quantitative real-time PCR	Homo sapiens 	Plasma	22594500	2012	Plasma profile of microRNA after supplementation with high doses of vitamin D3 for 12 months	In the first pilot 136 miRNAs were detected by RT-qPCR in one or more of the samples,and 11 miRNAs showed a significant difference in mean expression value between baseline and 12 months (P<0.05, student’s t-test) (Table 2). In the second pilot 113 miRNAs were detected in one or more of the samples. Eighteen of these miRNAs showed a significant difference in mean expression value between baseline and after 12 months (P<0.05) (Table 3).	down-regulated	
miR-661	MIMAT0003324	Atorvastatin	approved	DB01076	60823	Microarray 	Homo sapiens	PC3 prostate cancer cells 	23936432	2013	Inhibition of proliferation and induction of autophagy by atorvastatin in PC3 prostate cancer cells correlate with downregulation of Bcl2 and upregulation of miR-182 and p21.	miRNAs differentially regulated by ATO in PC3 cells following atorvastatin treatment (fold change cutoff value: 2.0)	up-regualted	
miR-661	MIMAT0003324	Mistletoe lectin-I 	NULL	NULL	NULL	Microarray	Homo sapiens 	colorectal cancer cells CLY cells	20955366	2011	Down-regulation of some miRNAs by degrading their precursors contributes to anti-cancer effect of mistletoe lectin-I.	Among the 428 human mature miRNAs analysed, 22 miRNAs were found to be down-regulated by more than twofold as compared with controls in CM-1-treated CLY cells, and 18 in CM-1-treated HT-29 cells (Table S2). 	down-regulated	
miR-661	MIMAT0003324	Mistletoe lectin-I 	NULL	NULL	NULL	Microarray	Homo sapiens 	colorectal cancer cells HT-29 cells	20955366	2011	Down-regulation of some miRNAs by degrading their precursors contributes to anti-cancer effect of mistletoe lectin-I.	Among the 428 human mature miRNAs analysed, 22 miRNAs were found to be down-regulated by more than twofold as compared with controls in CM-1-treated CLY cells, and 18 in CM-1-treated HT-29 cells (Table S2). 	down-regulated	
miR-662 	MIMAT0003325	Ascorbate 	approved	DB00126	54670067	Microarray 	Homo sapiens	Metastatic melanoma cell lines	25202679	2014	Epigenetic impacts of ascorbate on human metastatic melanoma cells	The investigation revealed that the expression of 151 miRNAs was signi?cantly altered when comparing ascorbate treatment for 1 h at 8 mM with treatment at 200mM (Figure 6). 	up-regualted	
miR-663	MIMAT0003326	Ascorbate 	approved	DB00126	54670067	Microarray 	Homo sapiens	Metastatic melanoma cell lines	25202679	2014	Epigenetic impacts of ascorbate on human metastatic melanoma cells	The investigation revealed that the expression of 151 miRNAs was signi?cantly altered when comparing ascorbate treatment for 1 h at 8 mM with treatment at 200mM (Figure 6). 	up-regualted	
miR-663	MIMAT0003326	4-hydroxynonenal	NULL	NULL	5283344	Microarray	Homo sapiens 	human leukemic HL-60 cell	19022373	2009	MicroRNA expression changes during human leukemic HL-60 cell differentiation induced by 4-hydroxynonenal, a product of lipid peroxidation.	Among 470 human miRNAs, 10 were found to be differentially expressed between control and HNE-treated cells (at p<0.05). Six miRNAs were down-regulated (miR-181a*, miR-199b, miR-202, miR-378, miR-454-3p, miR-575) and 4 were up-regulated (miR-125a, miR-339, miR-663, miR-660).	up-regulated	
miR-663	MIMAT0003326	Etoposide	approved	DB00773	36462	Microarray	Homo sapiens 	Normal human fibroblasts (AG01522)	19633716	2009	Ionizing radiation-induced oxidative stress alters miRNA expression.	A more extensive analysis also determined that all 17 miRNA species altered by radiation were also altered by either H2O2 or etoposide (Table 1). Several species were altered only by etoposide or H2O2 (Fig. 2).	up-regulated	
miR-663	MIMAT0003326	Resveratrol	NULL	DB02709	445154	Microarray	Homo sapiens 	human THP-1 monocytic cells and human blood monocytes	20622002	2010	Resveratrol decreases the levels of miR-155 by upregulating miR-663, a microRNA targeting JunB and JunD.	However, miRNA microarrays also showed that resveratrol upregulates miR-663 by roughly 75% (MIAME E-TABM-780). This was further confirmed by RNase-protection assays (Figure 1). 	up-regulated	
miR-663	MIMAT0003326	5-Fluorouracil 	approved	DB00544	3385	Microarray	Homo sapiens 	MCF-7 breast cancer cells	21506117	2011	5-Fluorouracil drug alters the microRNA expression profiles in MCF-7 breast cancer cells.	miRNA microarray analysis of 5-FU treated MCF-7 cells identified a set of 42 miRNAs which were significantly dysregulated between 5-FU treated and control samples (Table 1).	up-regulated	
miR-663	MIMAT0003326	All-trans-retinoic acid (ATRA)	approved	DB00755	444795	Microarray	Homo sapiens 	acute myeloid leukemia (AML) cell line HL-60	21518431	2011	Retinoic acid induces HL-60 cell differentiation via the upregulation of miR-664.	"Six microRNAs were upregulated by ATRA treatment, miR-663, miR-494, miR-145, miR-22, miR-363* and miR-223; and three microRNAs were downregulated, miR-10a, miR-181 and miR-612. Additionally, miR-664 expression was regulated by ATRA. "	up-regulated	
miR-663	MIMAT0003326	1alpha,25-Dihydroxyvitamin D3	approved	DB00136	5280453	Microarray	Homo sapiens 	prostate cancer	21592394	2011	Effects of 1?,25 dihydroxyvitamin D3 and testosterone on miRNA and mRNA expression in LNCaP cells.	Statistical analysis with a stringent cut-off of 2.0 fold, identifies 15 miRNAs that are significantly modulated by T and 1,25(OH)2D3 (Table 2).	up-regulated	
miR-663	MIMAT0003326	Testosterone	approved	DB00624	6013	Microarray	Homo sapiens 	prostate cancer	21592394	2011	Effects of 1?,25 dihydroxyvitamin D3 and testosterone on miRNA and mRNA expression in LNCaP cells.	Statistical analysis with a stringent cut-off of 2.0 fold, identifies 15 miRNAs that are significantly modulated by T and 1,25(OH)2D3 (Table 2).	up-regulated	
miR-663	MIMAT0003326	Marine fungal metabolite 1386A	NULL	NULL	NULL	Microarray	Homo sapiens 	MCF-7 breast cancer cells.	22159329	2012	Marine fungal metabolite 1386A alters the microRNA profile in MCF-7 breast cancer cells.	1386A treatment significantly altered the miRNA expression profile in MCF-7 cells. miRNA microarray analysis identified 45 miRNAs which showed significant dysregulation between the 1386A-treated and control samples (Table I). 	up-regulated	
miR-663	MIMAT0003326	Trastuzumab 	approved	DB00072	NULL	Microarray	Homo sapiens 	SKBR3 cells.	22384020	2012	Trastuzumab produces therapeutic actions by upregulating miR-26a and miR-30b in breast cancer cells.	Next, we conducted a microRNA profiling analysis using these samples to screen those microRNAs that were up- or down-regulated only in HER2-positive cells. This analysis identified miR-26a and miR-31b as trastuzumab-inducible microRNAs. 	up-regulated	
miR-663	MIMAT0003326	17beta-estradiol (E2)	approved	DB00783	5757	Microarray	Homo sapiens 	MCF-7 breast cancer cell line	22403704	2012	Endocrine disruptor regulation of microRNA expression in breast carcinoma cells.	Several members of the let-7 family (let-7a, let-7b, let-7c, let-7d, let-7e and let-7f), were downregulated (p<0.05) by all three treatments, consistent with published data in human breast cancer cells [36], and miR-15b (p<0.005) and miR-27b (p<0.01) were also downregulated by the three treatments (Table 2). In addition, upregulation of miR-638 (P<0.005), miR-663 (P<0.005), and miR-1915 (P<0.005) was observed after treatment of MCF7 cells with E2, BPA or DDT (Table 2).	up-regulated	
miR-663	MIMAT0003326	Bisphenol A	NULL	NULL	6623	Microarray	Homo sapiens 	MCF-7 breast cancer cell line	22403704	2012	Endocrine disruptor regulation of microRNA expression in breast carcinoma cells.	Several members of the let-7 family (let-7a, let-7b, let-7c, let-7d, let-7e and let-7f), were downregulated (p<0.05) by all three treatments, consistent with published data in human breast cancer cells [36], and miR-15b (p<0.005) and miR-27b (p<0.01) were also downregulated by the three treatments (Table 2). In addition, upregulation of miR-638 (P<0.005), miR-663 (P<0.005), and miR-1915 (P<0.005) was observed after treatment of MCF7 cells with E2, BPA or DDT (Table 2).	up-regulated	
miR-663	MIMAT0003326	O,p'-dichlorodiphenyltrichloroethane (DDT) 	NULL	NULL	13089	Microarray	Homo sapiens 	MCF-7 breast cancer cell line	22403704	2012	Endocrine disruptor regulation of microRNA expression in breast carcinoma cells.	Several members of the let-7 family (let-7a, let-7b, let-7c, let-7d, let-7e and let-7f), were downregulated (p<0.05) by all three treatments, consistent with published data in human breast cancer cells [36], and miR-15b (p<0.005) and miR-27b (p<0.01) were also downregulated by the three treatments (Table 2). In addition, upregulation of miR-638 (P<0.005), miR-663 (P<0.005), and miR-1915 (P<0.005) was observed after treatment of MCF7 cells with E2, BPA or DDT (Table 2).	up-regulated	
miR-663	MIMAT0003326	Bicalutamide	approved	DB01128	2375	Microarray	Homo sapiens 	prostate	22674191	2012	Goserelin and bicalutamide treatments alter the expression of microRNAs in the prostate.	The expression of 52, 44, and 34 miRNAs was affected >1.4-fold by the endocrine treatment in the cancer, non-malignant epithelium, and stromal compartments, respectively. Of the 52 miRNAs, only 10 were equally affected by the two treatment modalities in the cancer compartment. 	down-regulated	
miR-663	MIMAT0003326	Goserelin	approved	DB00014	47725	Microarray	Homo sapiens 	prostate	22674191	2012	Goserelin and bicalutamide treatments alter the expression of microRNAs in the prostate.	The expression of 52, 44, and 34 miRNAs was affected >1.4-fold by the endocrine treatment in the cancer, non-malignant epithelium, and stromal compartments, respectively. Of the 52 miRNAs, only 10 were equally affected by the two treatment modalities in the cancer compartment. 	up-regulated	
miR-663	MIMAT0003326	Celecoxib	approved	DB00482	2662	Microarray	Homo sapiens 	gastric cancer cells.	23001726	2013	The tumor suppressor microRNA-29c is downregulated and restored by celecoxib in human gastric cancer cells.	miRNA microarray analysis revealed that miR-29c was significantly downregulated in gastric cancer tissues relative to nontumor gastric mucosae	up-regulated	
miR-663 	MIMAT0003326	All-trans-retinoic acid (ATRA)	approved	DB00755	444795	Quantitative real-time PCR	Homo sapiens 	acute myeloid leukemia (AML) cell line HL-60	21518431	2011	Retinoic acid induces HL-60 cell differentiation via the upregulation of miR-664.	"Six microRNAs were upregulated by ATRA treatment, miR-663, miR-494, miR-145, miR-22, miR-363* and miR-223; and three microRNAs were downregulated, miR-10a, miR-181 and miR-612. Additionally, miR-664 expression was regulated by ATRA. "	up-regulated	
miR-663 	MIMAT0003326	Testosterone + 1,25-Dihydroxyvitamin D3	approved	NULL	NULL	Microarray	Homo sapiens 	prostate cancer	21592394	2011	Effects of 1?,25 dihydroxyvitamin D3 and testosterone on miRNA and mRNA expression in LNCaP cells.	Statistical analysis with a stringent cut-off of 2.0 fold, identifies 15 miRNAs that are significantly modulated by T and 1,25(OH)2D3 (Table 2).	up-regulated	
miR-664	MIMAT0003382	Acarbose	Approved	DB00284	444254	Microarray	Rattus norvegicus 	diabetic rats cells	24260283	2014	Acarbose reduces blood glucose by activating miR-10a-5p and miR-669 in diabetic rats	We found that miR-151*, miR-10a-5p, miR-205, miR-17-5p, miR-145 and miR-664 were up-regulated in the AcarH group, while miR-541 and miR-140b were down-regulated	up-regulated	
miR-664	MIMAT0005949	Sorafenib	approved	DB00398	216239	Quantitative real-time PCR	Homo sapiens 	hepatocellular carcinoma	21530512	2011	microRNA-1274a, a modulator of sorafenib induced a disintegrin and metalloproteinase 9 (ADAM9) down-regulation in hepatocellular carcinoma.	Pairwise significance analysis of the profiling data  indicated  that  the  expression  of  12  miRNAs  (miR-30a-3p,miR-194*,miR-219-1-3p,miR-522,miR-548c-5p,miR-629,miR-664, miR-1260, miR-1274a, miR-1274b, miR-1290, and miR-1291) was significantly up-regulated in HepG2 cells treated with both 0.05 lmol/L and 1 lmol/L sorafenib (>2-fold) compared with those in HepG2 cells treated with DMSO (Table 1).	up-regulated	
miR-664	MIMAT0005949	Ginsenoside Rh2 	NULL	NULL	119307	Microarray 	Homo sapiens 	NSCLC cell line A549	23152132	2013	Ginsenoside Rh2 mediates changes in the microRNA expression profile of human non-small cell lung cancer A549 cells.	Using miRNA microarray analysis, we identified 44 and 24 miRNAs displaying changes in expression greater than 2-fold in Rh2-treated A549 cells	up-regulated	
miR-665-5p	NULL	6-hydroxydopamine 	NULL	NULL	4624	Microarray 	Homo sapiens	MN9D cells 	23846856	2013	Global microRNA expression profiling reveals differential expression of target genes in 6-hydroxydopamine-injured MN9D cells.	The results from microarray and RT-PCR were comparable for up-regulated (miR-875, miR-207, miR-425-5p, miR-19b-3p, and miR-338-3p) and down-regulated (miR-668-3p, let-7d-3p, miR-3077-3p, miR-665-5p, miR-99b-3p, and miR-323-3p) miRNAs (Fig. 2).	down-regualted	
miR-665-5p	NULL	6-hydroxydopamine 	NULL	NULL	4624	Quantitative real-time PCR	Homo sapiens	MN9D cells 	23846856	2013	Global microRNA expression profiling reveals differential expression of target genes in 6-hydroxydopamine-injured MN9D cells.	The results from microarray and RT-PCR were comparable for up-regulated (miR-875, miR-207, miR-425-5p, miR-19b-3p, and miR-338-3p) and down-regulated (miR-668-3p, let-7d-3p, miR-3077-3p, miR-665-5p, miR-99b-3p, and miR-323-3p) miRNAs (Fig. 2).	down-regualted	
miR-666	MIMAT0003737	Phenethyl isothiocyanate(PEITC)	NULL	NULL	16741	Microarray	Mus musculus 	neonatal mice lung	20145010	2010	Modulation of microRNA expression by budesonide, phenethyl isothiocyanate and cigarette smoke in mouse liver and lung.	In particular, as shown in Table I and inferred from Venn diagrams and volcano-plot analyses (data not shown), several miRNAs were altered in their expression.	down-regulated	
miR-666	MIMAT0003737	Reversine	NULL	NULL	210332	Microarray	Mus musculus 	C2C12 myoblast cells	24513286	2014	Reversine induces multipotency of lineage-committed cells through epigenetic silencing of miR-134a	Reversine treatment results in up- and down-regulated miRNA profiles.	up-regulated	
miR-667	MIMAT0003734	Doxorubicin	approved	DB00997	31703	Microarray 	Mus musculus	heart	22859947	2012	Perturbation of microRNAs in rat heart during chronic doxorubicin treatment.	Five of these microRNAs (miR-208b,miR-215, miR-216b, miR-34c and miR-367) displayed a consistent dose-dependent response to DOX at 2 and 4 weeks and were thus chosen as candidates for further expression profiling across the larger in vivo study treatment groups including co-treatment of DOX with DZR and treatment with EPS only (Figure 3).	up-regulated	
miR-667	MIMAT0003734	Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)	NULL	NULL	8490	Microarray	Mus musculus 	mouse brain	19270793	2009	RDX Induces Aberrant Expression of MicroRNAs in Mouse Brain and Liver	The expression levels of 84 miRNAs were significantly altered in mouse brain after RDX exposure (Table 1,Figures 3, 4A).	down-regulated	
miR-667	MIMAT0012852	Longevinex	NULL	NULL	NULL	Quantitative real-time PCR	Rattus norvegicus 	ischemia/reperfusion [I/R] rat model 	21203465	2011	Restoration of altered microRNA expression in the ischemic heart with resveratrol.	Top 25 miRNAs were listed, which were either up or down regulated in IR condition (Table 1) and the most regulations were reversed by pretreatment with resveratrol and longevinex. 	down-regulated	
miR-667	MIMAT0012852	Longevinex	NULL	NULL	NULL	Quantitative real-time PCR	Rattus norvegicus 	normal heart	21203465	2011	Restoration of altered microRNA expression in the ischemic heart with resveratrol.	Top 25 miRNAs were listed, which were either up or down regulated in IR condition (Table 1) and the most regulations were reversed by pretreatment with resveratrol and longevinex. 	up-regulated	
miR-667	MIMAT0012852	Resveratrol	NULL	DB02709	445154	Quantitative real-time PCR	Rattus norvegicus 	ischemia/reperfusion [I/R] rat model 	21203465	2011	Restoration of altered microRNA expression in the ischemic heart with resveratrol.	Top 25 miRNAs were listed, which were either up or down regulated in IR condition (Table 1) and the most regulations were reversed by pretreatment with resveratrol and longevinex. 	down-regulated	
miR-667	MIMAT0012852	Resveratrol	NULL	DB02709	445154	Quantitative real-time PCR	Rattus norvegicus 	normal heart	21203465	2011	Restoration of altered microRNA expression in the ischemic heart with resveratrol.	Top 25 miRNAs were listed, which were either up or down regulated in IR condition (Table 1) and the most regulations were reversed by pretreatment with resveratrol and longevinex. 	up-regulated	
miR-668	MIMAT0003881	Mistletoe lectin-I 	NULL	NULL	NULL	Microarray	Homo sapiens 	colorectal cancer cells CLY cells	20955366	2011	Down-regulation of some miRNAs by degrading their precursors contributes to anti-cancer effect of mistletoe lectin-I.	Among the 428 human mature miRNAs analysed, 22 miRNAs were found to be down-regulated by more than twofold as compared with controls in CM-1-treated CLY cells, and 18 in CM-1-treated HT-29 cells (Table S2). 	down-regulated	
miR-668	MIMAT0003881	Mistletoe lectin-I 	NULL	NULL	NULL	Microarray	Homo sapiens 	colorectal cancer cells HT-29 cells	20955366	2011	Down-regulation of some miRNAs by degrading their precursors contributes to anti-cancer effect of mistletoe lectin-I.	Among the 428 human mature miRNAs analysed, 22 miRNAs were found to be down-regulated by more than twofold as compared with controls in CM-1-treated CLY cells, and 18 in CM-1-treated HT-29 cells (Table S2). 	down-regulated	
miR-668	MIMAT0003881	Ethanol	NULL	DB00898	702	Quantitative real-time PCR	Homo sapiens 	CIE10	22141737	2012	Chronic intermittent ethanol exposure and its removal induce a different miRNA expression pattern in primary cortical neuronal cultures.	Sixty-two miRNAs were differentially expressed after 10 days of CIE (CIE10) treatment (n = 42 with false discovery rate [FDR]?< 0.05 and fold change > 2) and 5 days post-CIE (P5) treatment (n = 26) compared with untreated control values. Compared to CIE10, ethanol (EtOH) removal experience in P5 induced a distinct expression pattern, including 20 differentially expressed miRNAs,	up-regulated	
miR-668	MIMAT0003881	Ethanol	NULL	DB00898	702	Quantitative real-time PCR	Homo sapiens 	CIE10	22141737	2012	Chronic intermittent ethanol exposure and its removal induce a different miRNA expression pattern in primary cortical neuronal cultures.	Sixty-two miRNAs were differentially expressed after 10 days of CIE (CIE10) treatment (n = 42 with false discovery rate [FDR]?< 0.05 and fold change > 2) and 5 days post-CIE (P5) treatment (n = 26) compared with untreated control values. Compared to CIE10, ethanol (EtOH) removal experience in P5 induced a distinct expression pattern, including 20 differentially expressed miRNAs,	up-regulated	
miR-668-3p	MIMAT0003881	6-hydroxydopamine 	NULL	NULL	4624	Microarray 	Homo sapiens	MN9D cells 	23846856	2013	Global microRNA expression profiling reveals differential expression of target genes in 6-hydroxydopamine-injured MN9D cells.	The results from microarray and RT-PCR were comparable for up-regulated (miR-875, miR-207, miR-425-5p, miR-19b-3p, and miR-338-3p) and down-regulated (miR-668-3p, let-7d-3p, miR-3077-3p, miR-665-5p, miR-99b-3p, and miR-323-3p) miRNAs (Fig. 2).	down-regualted	
miR-668-3p	MIMAT0003881	6-hydroxydopamine 	NULL	NULL	4624	Quantitative real-time PCR	Homo sapiens	MN9D cells 	23846856	2013	Global microRNA expression profiling reveals differential expression of target genes in 6-hydroxydopamine-injured MN9D cells.	The results from microarray and RT-PCR were comparable for up-regulated (miR-875, miR-207, miR-425-5p, miR-19b-3p, and miR-338-3p) and down-regulated (miR-668-3p, let-7d-3p, miR-3077-3p, miR-665-5p, miR-99b-3p, and miR-323-3p) miRNAs (Fig. 2).	down-regualted	
miR-669a	MIMAT0003477	Proanthocyanin	NULL	NULL	108065	Microarray	Mus musculus	apoE?/? mice	22253797	2012	Modulation of miRNA expression by dietary polyphenols in apoE deficient mice: a new mechanism of the action of polyphenols	Moreover, changes in miRNA expression were observed after polyphenol supplementation, and five miRNAs (mmu-miR-291b-5p, mmu-miR-296-5p, mmu-miR-30c-1*, mmu-miR-467b* and mmu-miR-374*) were identified as being commonly modulated by these polyphenols	down-regulated	
miR-669a	MIMAT0003477	Reversine	NULL	NULL	210332	Microarray	Mus musculus 	C2C12 myoblast cells	24513286	2014	Reversine induces multipotency of lineage-committed cells through epigenetic silencing of miR-134a	Reversine treatment results in up- and down-regulated miRNA profiles.	down-regulated	
miR-669c	MIMAT0003479	(S)-3,5-dihydroxyphenylglycine (DHPG) 	NULL	NULL	443586	Quantitative real-time PCR	Mus musculus	mouse brain	22309833	2012	Effect of (S)-3,5-DHPG on microRNA expression in mouse brain.	We then examined the expression of microRNAs in the cerebral Table 3 lists the signi?cantly regulated microRNAs detected at 4, 8 and 24 h after DHPG treatment in the qPCR arrays and their corresponding ??Ct values and fold changes.(8h after)	up-regulated	
